date,game_id,home,away,competition,time,status,score,vote_home,vote_draw,vote_away,vote_count,pop_rank_home,pop_rank_away,pop_rank_diff,trend_home_w,trend_home_d,trend_home_l,trend_away_w,trend_away_d,trend_away_l,trend_win_rate_home,trend_win_rate_away,trend_win_rate_diff,venue,attendance,goals_home,goals_away,yellow_home,yellow_away,red_home,red_away,has_lineups,lineups_status_text,has_doubtful,has_missing_players,has_statistics,has_news,has_buzz,social_comments,fifa_rank_home,fifa_rank_away,fifa_rank_diff
2026-06-07,4726298,Chinese Taipei (W),Kyrgyzstan (W),AVC Women's Cup,07-06-2026 04:00,finished,3:0,50.0,12.5,37.5,8,12,0,,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4726499,Canberra Brave,Melbourne Mustangs,AIHL,07-06-2026 04:00,finished,6:3,40.0,10.0,50.0,10,1,5,4,1,0,1,0,1,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4728916,Vanraure Hachinohe,FC Imabari,J2 League,07-06-2026 04:00,finished,1:1,42.8,24.2,33.0,194,1,2,1,4,0,3,3,0,4,0.5714,0.4286,0.1429,,1078,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4733071,Wests Tigers,Penrith Panthers,NRL,07-06-2026 04:00,finished,0:68,33.3,33.3,33.3,3,4,6,2,0,,,1,,,,,,,,0,0,0,0,0,0,False,,False,False,False,True,False,0,,,
2026-06-07,4728508,Tokushima,Iwaki FC,J2 League,07-06-2026 04:05,finished,2:0,43.5,19.4,37.1,170,17,3,-14,1,1,3,0,3,3,0.2,0.0,0.2,,2486,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4626435,Chunichi Dragons,Seibu Lions,NPB,07-06-2026 04:30,finished,1:4,38.7,3.2,58.1,31,6,5,-1,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4626751,Hiroshima Toyo Carp,Orix Buffaloes,NPB,07-06-2026 04:30,finished,5:2,48.1,3.7,48.1,27,11,5,-6,1,1,2,0,0,2,0.25,0.0,0.25,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4626466,Yomiuri Giants,Chiba Lotte Marines,NPB,07-06-2026 05:00,finished,2:2,53.1,3.1,43.8,32,14,5,-9,2,2,1,2,2,0,0.4,0.5,-0.1,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4626780,Yokohama Baystars,Fukuoka Hawks,NPB,07-06-2026 05:00,finished,2:4,27.3,4.5,68.2,22,6,6,0,0,0,1,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4626786,Hanshin Tigers,Rakuten Gold Eagles,NPB,07-06-2026 05:00,finished,,70.4,3.7,25.9,27,14,6,-8,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4626790,Yakult Swallows,Nippon Ham Fighters,NPB,07-06-2026 05:00,finished,1:7,17.4,4.3,78.3,23,8,11,3,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4728743,Zweigen Kanazawa,Thespa Gunma,J2 League,07-06-2026 05:00,finished,4:1,56.4,20.3,23.3,133,6,5,-1,1,0,1,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4728744,Blaublitz Akita,Kagoshima United,J2 League,07-06-2026 05:00,finished,0:2,53.9,21.7,24.3,152,4,3,-1,0,3,1,1,3,1,0.0,0.2,-0.2,,3322,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4728745,Tochigi SC,Giravanz Kitakyushu,J2 League,07-06-2026 05:00,finished,2:1,58.0,16.8,25.2,119,7,5,-2,3,4,4,4,0,0,0.2727,1.0,-0.7273,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4728780,Fukushima United,FC Ryukyu,J2 League,07-06-2026 05:00,finished,1:1,57.5,18.5,24.0,146,2,4,2,3,1,3,4,1,3,0.4286,0.5,-0.0714,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4732943,Canterbury Red Devils,West Auckland Admirals,NZIHL,07-06-2026 05:10,finished,8:2,33.3,33.3,33.3,3,0,0,,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4687984,Newcastle North Stars,Melbourne Ice,AIHL,07-06-2026 05:30,finished,2:5,25.0,12.5,62.5,8,5,5,0,0,1,0,1,1,1,0.0,0.3333,-0.3333,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4726498,Brisbane Lightning,Central Coast Rhinos,AIHL,07-06-2026 05:45,finished,13:7,40.0,20.0,40.0,5,0,0,,1,1,0,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4638531,Southland Sharks,Franklin Bulls,NBL,07-06-2026 06:00,finished,86:75,81.4,2.3,16.3,43,0,0,,1,1,1,0,1,0,0.3333,0.0,0.3333,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4668265,Belgium (W),Serbia (W),Volleyball Nations League (W),07-06-2026 07:00,finished,3:2,32.3,1.1,66.7,93,47,81,34,1,0,0,0,0,1,1.0,0.0,1.0,Nanjing Olympic Sports Center Gymnasium,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4726287,Philippines (W),Australia (W),AVC Women's Cup,07-06-2026 07:00,finished,2:3,66.7,16.7,16.7,6,1,2,1,1,0,1,1,0,0,0.5,1.0,-0.5,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4728746,Oita Trinita,Yamagata,J2 League,07-06-2026 07:00,finished,1:0,38.0,18.1,44.0,166,14,14,0,1,4,4,0,4,1,0.1111,0.0,0.1111,,,0,0,0,0,0,0,True,Lineups,False,False,True,False,False,0,,,
2026-06-07,4733072,Bulgaria U19,Albania U19,U19 Friendly International,07-06-2026 07:30,finished,3:0,46.2,23.1,30.8,13,65,64,-1,1,1,0,0,0,2,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4726511,Perth Thunder,Adelaide Adrenaline,AIHL,07-06-2026 08:00,finished,4:3,55.6,11.1,33.3,9,5,1,-4,1,1,1,0,0,0,0.3333,,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4732938,SSG Landers,Kt Wiz Suwon,KBO,07-06-2026 08:00,finished,7:0,56.9,1.7,41.4,58,3,2,-1,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4732939,NC Dinos,LG Twins,KBO,07-06-2026 08:00,finished,7:6,38.9,1.9,59.3,54,11,12,1,1,1,0,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4732940,Lotte Giants,Hanwha Eagles,KBO,07-06-2026 08:00,finished,8:9,46.3,2.4,51.2,41,3,11,8,0,0,0,1,1,1,,0.3333,,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4732941,Doosan Bears,Kiwoom Heroes,KBO,07-06-2026 08:00,finished,1:4,85.1,2.1,12.8,47,3,10,7,0,1,1,1,0,0,0.0,1.0,-1.0,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4732942,KIA Tigers,Samsung Lions,KBO,07-06-2026 08:00,finished,7:6,70.9,1.8,27.3,55,4,12,8,1,0,1,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,False,False,False,0,,,
2026-06-07,4732871,Mariano Kestelboim,Iliyan Radulov,Lyon,07-06-2026 08:07,finished,1:2,28.6,14.3,57.1,7,0,0,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732869,Geoffrey Blancaneaux,Luca Staeheli,Lyon,07-06-2026 08:08,finished,0:2,71.4,7.1,21.4,14,0,0,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732864,Lucas Poullain,Loann Massard,Lyon,07-06-2026 08:11,finished,2:0,78.6,7.1,14.3,14,0,0,,1,0,1,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732879,Daniel Michalski,Andrej Martin,Bratislava,07-06-2026 08:39,finished,1:2,60.0,10.0,30.0,10,0,2,,0,0,1,1,0,1,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732880,Alex Marti Pujolras,Benjamin Hassan,Bratislava,07-06-2026 08:40,finished,2:0,14.3,7.1,78.6,14,0,1,,1,0,1,0,0,0,0.5,,,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732868,Martin Krumich,Viktor Durasovic,Bratislava,07-06-2026 08:40,finished,2:0,76.5,5.9,17.6,17,0,0,,1,0,0,0,0,1,1.0,0.0,1.0,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732805,Ella Seidel,Greet Minnen,Hertogenbosch,07-06-2026 09:05,finished,1:2,68.2,2.3,29.5,44,0,1,,0,1,0,1,1,0,0.0,0.5,-0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732806,Martin Damm,Juan Pablo Ficovich,Hertogenbosch,07-06-2026 09:07,finished,2:0,70.4,1.9,27.8,54,0,1,,1,1,0,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732768,Siniakova K./Townsend T.,Danilina A./Krunic A.,Roland Garros - Doubles (W),07-06-2026 09:08,finished,2:0,73.7,2.6,23.7,38,0,0,,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732813,Hanne Vandewinkel,Anouk Koevermans,Hertogenbosch,07-06-2026 09:09,finished,2:0,79.2,4.2,16.7,24,0,0,,1,1,0,0,1,0,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732814,Sebastian Baez,Alex Molcan,Prostejov,07-06-2026 09:10,finished,2:0,84.6,0.7,14.8,149,62,2,-60,1,1,1,0,1,1,0.3333,0.0,0.3333,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732819,Sho Shimabukuro,Jurij Rodionov,Stuttgart,07-06-2026 09:12,finished,2:0,47.6,1.0,51.5,103,1,1,0,1,1,0,0,1,0,0.5,0.0,0.5,Match Court 2,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732801,Marc-Andrea Huesler,Gauthier Onclin,Stuttgart,07-06-2026 09:12,finished,0:2,51.1,0.7,48.2,137,1,0,,0,1,0,1,1,0,0.0,0.5,-0.5,Colosseum,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4732877,Leo Raquillet,Svyatoslav Gulin,Lyon,07-06-2026 09:38,finished,1:2,30.0,10.0,60.0,10,0,0,,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4731907,Jodie Anna Burrage,Anna Blinkova,Queen's,07-06-2026 09:40,finished,0:2,18.5,1.9,79.6,54,0,2,,0,0,0,1,0,0,,1.0,,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4731906,Donna Vekic,Carole Monnet,Queen's,07-06-2026 09:41,finished,2:0,89.6,2.1,8.3,48,36,0,,1,0,1,0,0,1,0.5,0.0,0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4731913,Talia Gibson,Alina Charaeva,Queen's,07-06-2026 09:41,finished,0:2,85.5,1.3,13.2,76,0,0,,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4731908,Priscilia Hon,Polina Kudermetova,Queen's,07-06-2026 09:42,finished,1:2,37.1,2.9,60.0,35,0,1,,0,0,0,1,0,1,,0.5,,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4667048,Yeoju FC,Siheung Citizen,K League 3,07-06-2026 10:00,finished,0:1,27.0,21.6,51.4,37,0,0,,0,1,2,1,2,1,0.0,0.25,-0.25,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4667049,Mokpo City,Yangpyeong,K League 3,07-06-2026 10:00,finished,0:0,47.4,26.3,26.3,19,2,0,,2,2,0,2,0,0,0.5,1.0,-0.5,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
2026-06-07,4726304,Kazakhstan (W),Indonesia (W),AVC Women's Cup,07-06-2026 10:00,finished,3:0,41.7,8.3,50.0,12,15,1,-14,1,0,0,1,1,1,1.0,0.3333,0.6667,,,0,0,0,0,0,0,True,Box Score,False,False,True,False,False,0,,,
2026-06-07,4732917,Lommedalen,Heming,NM Cupen,07-06-2026 10:00,finished,1:3,51.4,28.6,20.0,70,0,0,,0,,,1,,,,,,,,0,0,0,0,0,0,False,,False,False,True,False,False,0,,,
